flow_a,flow_b,ip_a,ip_b,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,pkt_len_mean,pkt_len_std,pkt_len_max,pkt_len_min,flow_iat_mean,flow_iat_std,fwd_iat_mean,bwd_iat_mean,down_up_ratio,fwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_mean,bwd_pkt_len_max,syn_flag_cnt,ack_flag_cnt,fin_flag_cnt,rst_flag_cnt,psh_flag_cnt,urg_flag_cnt,init_fwd_win_byts,init_bwd_win_byts,ip_version,ip_ttl_mean,ip_ttl_std,ip_len_mean,ip_len_std,ip_flag_df_rate,ip_flag_mf_rate,tcp_win_size_mean,tcp_win_size_std,tcp_seq_mean_delta,tcp_ack_mean_delta,label
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-15081,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-738408,169.231.14.243,169.231.142.160,0.0,35.169346,13.0,1.0,8724.262382,15.590677,11.580073,468.75,503.696452,1347.0,152.0,2.278133,5.968031,2.236576,0.0,0.333333,170.75,173.0,1440.0,1440.0,2.0,10.0,0.0,1.0,0.0,0.0,65021.0,16387.0,0.0,60.666667,4.714045,247.2,26.703808,0.0,0.0,471.066667,8355.016222,1435751762.357143,1151304829.428571,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-17069,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-604621,169.231.14.243,169.231.63.217,0.0,41.970246,5.0,0.0,35.342846,0.459329,0.459329,1.366071,0.130671,0.0,6.0,1.764308,5.315709,1.764308,0.0,0.0,1.366071,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.75,27.578536,0.05,0.0,1055.933333,2000.481936,18.530075,123435731.033834,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-17069,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-209156,169.231.14.243,169.231.56.103,0.0,91.04536,4.0,18.0,34.821621,0.455874,0.617894,0.595395,0.159884,0.0,6.0,1.665822,9.878291,4.510426,6.527298,0.9,2.0375,0.0,76.944444,93.0,1.0,22.0,0.0,1.0,10.0,0.0,0.0,65535.0,0.0,13.135135,13.495068,9.264865,74.211619,0.027027,0.0,1609.987387,1261.103637,1390088596.464286,1077631980.571429,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-2015,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-175957,169.231.187.157,169.231.151.30,11.0,3.532937,15.0,0.0,38369.34957,411.520399,411.520399,18.263158,12.822029,0.0,33.0,0.193609,0.731931,0.193609,0.0,0.0,18.263158,0.0,0.0,0.0,2.0,15.0,1.0,2.0,4.0,0.0,64240.0,0.0,0.0,2.0,0.0,314.944444,56.487971,0.0,0.0,3978.888889,14616.28538,337.823529,249009862.588235,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-2015,s2-2022-04-29-1215-ens4f1-2022-04-29-1215-258875,169.231.187.157,169.231.35.200,11.0,4.233455,41.0,0.0,37924.574681,406.278215,406.278215,13.266667,13.198316,0.0,27.0,0.093235,0.440962,0.093235,0.0,0.0,13.266667,0.0,0.0,0.0,2.0,43.0,1.0,0.0,22.0,0.0,65535.0,0.0,0.0,2.0,0.0,542.840909,345.517451,0.0,0.0,3481.886364,9463.047021,92.0,70448967.697674,0
s3-2022-04-29-1215-ens4f1-2022-04-29-1215-12242,s2-2022-04-29-1215-ens4f1-2022-04-29-1215-318565,169.231.187.157,169.231.26.172,11.0,97.796691,1.0,0.0,26.075094,0.442485,0.442485,15.090643,1.514213,0.0,7.0,5.85973,0.426676,5.85973,0.0,0.0,15.090643,0.0,0.0,0.0,2.0,17.0,2.0,0.0,1.0,0.0,65535.0,0.0,0.0,0.0,0.0,46.830918,79.472339,0.0,0.0,7474.5,14081.86757,77.352941,91481949.647059,0
s3-2022-04-29-1215-ens4f1-2022-04-29-1215-12242,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-410386,169.231.187.157,169.231.57.39,11.0,130.48965,1.0,0.0,29110.085861,384.521003,384.521003,3.01634,2.959425,0.0,7.0,7.675699,6.663181,7.675699,0.0,0.0,3.01634,0.0,0.0,0.0,2.0,12.0,1.0,3.0,6.0,0.0,65535.0,0.0,0.0,1.0,0.0,32.453804,70.885037,0.0,0.0,5628.5,15488.035172,79.733333,153263057.333333,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-354067,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-212798,169.231.187.157,169.231.103.22,0.0,53.878958,5.0,8.0,31.951389,0.358631,0.453207,7.167464,0.889392,0.0,6.0,2.321944,3.572353,4.800705,9.325459,0.571429,7.394737,0.0,77.125,93.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,26847.0,0.0,110.904762,84.270486,309.34127,158.033853,0.047619,0.0,13498.365079,3222.798224,636257358.264706,635440210.232353,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-354067,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-331498,169.231.187.157,169.231.61.129,0.0,64.376382,3.0,8.0,47.432291,0.581027,0.675603,3.390374,0.334684,0.0,6.0,2.764778,5.707954,5.243539,9.325459,0.571429,3.617647,0.0,77.125,93.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,26847.0,0.0,66.095238,84.270486,122.139881,102.743787,0.047619,0.0,406.85119,884.506823,636257553.966667,490738511.75,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-390516,s2-2022-04-29-1215-ens4f2-2022-04-29-1215-289692,169.231.187.157,169.231.33.72,11.0,59.593912,44.0,0.0,12956.673825,157.429555,157.429555,1.7375,4.156835,0.0,15.0,1.005045,6.186331,1.005045,0.0,0.0,1.7375,0.0,0.0,0.0,2.0,57.0,0.0,1.0,30.0,0.0,65535.0,0.0,0.0,0.0,0.0,255.328814,182.998837,1.0,0.0,3087.610169,8203.997785,426.775862,38296332.931034,0
